No,Pendidikan,Kode Kemdagri,Kode BPS,Provinsi,State_School_Internet,Private_School_Internet,Total_School_Internet,State_School,Private_School,Total_School,Diff_State,Diff_Private,Diff_Total 
1, SD ,11,11,DI. ACEH,2188,156,2344,3335,197,3532,1147,41,1188
2, SD ,12,12,SUMATERA UTARA,5257,1321,6578,8167,1584,9751,2910,263,3173
3, SD ,13,13,SUMATERA BARAT,2599,272,2871,3892,314,4206,1293,42,1335
4, SD ,14,14,RIAU,2426,498,2924,3230,585,3815,804,87,891
5, SD ,15,15,JAMBI,1742,136,1878,2304,160,2464,562,24,586
6, SD ,16,16,SUMATERA SELATAN,3253,404,3657,4249,470,4719,996,66,1062
7, SD ,17,17,BENGKULU,826,93,919,1289,118,1407,463,25,488
8, SD ,18,18,LAMPUNG,3156,353,3509,4297,429,4726,1141,76,1217
9, SD ,19,19,KEPULAUAN BANGKA BELITUNG,621,67,688,761,72,833,140,5,145
10, SD ,21,21,KEPULAUAN RIAU,555,284,839,683,299,982,128,15,143
11, SD ,31,31,DKI JAKARTA,1270,893,2163,1305,919,2224,35,26,61
12, SD ,32,32,JAWA BARAT,14928,2277,17205,17104,2449,19553,2176,172,2348
13, SD ,33,33,JAWA TENGAH,16070,1267,17337,17298,1320,18618,1228,53,1281
14, SD ,34,34,DI YOGYAKARTA,1360,406,1766,1422,424,1846,62,18,80
15, SD ,35,35,JAWA TIMUR,15481,1917,17398,16902,2078,18980,1421,161,1582
16, SD ,36,36,BANTEN,3469,701,4170,3853,757,4610,384,56,440
17, SD ,51,51,BALI,2064,146,2210,2254,155,2409,190,9,199
18, SD ,52,52,NUSA TENGGARA BARAT,2377,255,2632,3008,322,3330,631,67,698
19, SD ,53,53,NUSA TENGGARA TIMUR,1896,1112,3008,3396,1829,5225,1500,717,2217
20, SD ,61,61,KALIMANTAN BARAT,2024,239,2263,4140,307,4447,2116,68,2184
21, SD ,62,62,KALIMANTAN TENGAH,1386,194,1580,2414,236,2650,1028,42,1070
22, SD ,63,63,KALIMANTAN SELATAN,2164,153,2317,2738,182,2920,574,29,603
23, SD ,64,64,KALIMANTAN TIMUR,1214,250,1464,1657,272,1929,443,22,465
24, SD ,65,65,KALIMANTAN UTARA,227,40,267,437,48,485,210,8,218
25, SD ,71,71,SULAWESI UTARA,813,535,1348,1347,862,2209,534,327,861
26, SD ,72,72,SULAWESI TENGAH,1567,163,1730,2675,269,2944,1108,106,1214
27, SD ,73,73,SULAWESI SELATAN,4044,304,4348,6070,364,6434,2026,60,2086
28, SD ,74,74,SULAWESI TENGGARA,1395,75,1470,2256,91,2347,861,16,877
29, SD ,75,75,GORONTALO,639,28,667,897,34,931,258,6,264
30, SD ,76,76,SULAWESI BARAT,648,19,667,1297,32,1329,649,13,662
31, SD ,81,81,MALUKU,680,237,917,1277,538,1815,597,301,898
32, SD ,82,82,MALUKU UTARA,535,115,650,1111,206,1317,576,91,667
33, SD ,92,91,PAPUA BARAT,187,85,272,406,163,569,219,78,297
34, SD ,96,92,PAPUA BARAT DAYA,159,145,304,302,245,547,143,100,243
35, SD ,91,94,PAPUA,208,175,383,487,344,831,279,169,448
36, SD ,94,96,PAPUA TENGAH,79,99,178,291,262,553,212,163,375
37, SD ,93,95,PAPUA SELATAN,135,99,234,372,234,606,237,135,372
38, SD ,95,97,PAPUA PEGUNUNGAN,61,44,105,513,152,665,452,108,560
39, SLB ,11,11,DI. ACEH,26,29,55,30,36,66,4,7,11
40, SLB ,12,12,SUMATERA UTARA,24,26,50,29,31,60,5,5,10
41, SLB ,13,13,SUMATERA BARAT,25,118,143,29,146,175,4,28,32
42, SLB ,14,14,RIAU,17,27,44,18,30,48,1,3,4
43, SLB ,15,15,JAMBI,13,6,19,16,8,24,3,2,5
44, SLB ,16,16,SUMATERA SELATAN,14,19,33,16,23,39,2,4,6
45, SLB ,17,17,BENGKULU,14,3,17,15,3,18,1,0,1
46, SLB ,18,18,LAMPUNG,11,17,28,13,18,31,2,1,3
47, SLB ,19,19,KEPULAUAN BANGKA BELITUNG,5,1,6,7,2,9,2,1,3
48, SLB ,21,21,KEPULAUAN RIAU,9,12,21,10,12,22,1,0,1
49, SLB ,31,31,DKI JAKARTA,13,73,86,13,73,86,0,0,0
50, SLB ,32,32,JAWA BARAT,54,319,373,56,331,387,2,12,14
51, SLB ,33,33,JAWA TENGAH,41,141,182,41,147,188,0,6,6
52, SLB ,34,34,DI YOGYAKARTA,9,70,79,9,72,81,0,2,2
53, SLB ,35,35,JAWA TIMUR,69,317,386,71,331,402,2,14,16
54, SLB ,36,36,BANTEN,9,98,107,9,103,112,0,5,5
55, SLB ,51,51,BALI,12,2,14,12,2,14,0,0,0
56, SLB ,52,52,NUSA TENGGARA BARAT,17,28,45,19,34,53,2,6,8
57, SLB ,53,53,NUSA TENGGARA TIMUR,24,8,32,35,11,46,11,3,14
58, SLB ,61,61,KALIMANTAN BARAT,12,8,20,15,11,26,3,3,6
59, SLB ,62,62,KALIMANTAN TENGAH,17,5,22,20,5,25,3,0,3
60, SLB ,63,63,KALIMANTAN SELATAN,22,4,26,22,4,26,0,0,0
61, SLB ,64,64,KALIMANTAN TIMUR,8,23,31,11,24,35,3,1,4
62, SLB ,65,65,KALIMANTAN UTARA,6,0,6,6,0,6,0,0,0
63, SLB ,71,71,SULAWESI UTARA,4,26,30,6,29,35,2,3,5
64, SLB ,72,72,SULAWESI TENGAH,13,16,29,16,17,33,3,1,4
65, SLB ,73,73,SULAWESI SELATAN,22,55,77,23,71,94,1,16,17
66, SLB ,74,74,SULAWESI TENGGARA,11,50,61,17,65,82,6,15,21
67, SLB ,75,75,GORONTALO,7,0,7,8,0,8,1,0,1
68, SLB ,76,76,SULAWESI BARAT,10,9,19,13,12,25,3,3,6
69, SLB ,81,81,MALUKU,11,5,16,11,5,16,0,0,0
70, SLB ,82,82,MALUKU UTARA,12,3,15,17,8,25,5,5,10
71, SLB ,92,91,PAPUA BARAT,0,1,1,0,1,1,0,0,0
72, SLB ,96,92,PAPUA BARAT DAYA,4,0,4,4,0,4,0,0,0
73, SLB ,91,94,PAPUA,4,1,5,5,2,7,1,1,2
74, SLB ,94,96,PAPUA TENGAH,1,1,2,1,2,3,0,1,1
75, SLB ,93,95,PAPUA SELATAN,1,0,1,1,0,1,0,0,0
76, SLB ,95,97,PAPUA PEGUNUNGAN,0,0,0,0,0,0,0,0,0
77, SMP ,11,11,DI. ACEH,674,304,978,903,391,1294,229,87,316
78, SMP ,12,12,SUMATERA UTARA,981,1162,2143,1339,1348,2687,358,186,544
79, SMP ,13,13,SUMATERA BARAT,519,159,678,675,183,858,156,24,180
80, SMP ,14,14,RIAU,689,345,1034,874,395,1269,185,50,235
81, SMP ,15,15,JAMBI,422,128,550,558,150,708,136,22,158
82, SMP ,16,16,SUMATERA SELATAN,716,461,1177,908,530,1438,192,69,261
83, SMP ,17,17,BENGKULU,291,62,353,380,77,457,89,15,104
84, SMP ,18,18,LAMPUNG,588,630,1218,709,746,1455,121,116,237
85, SMP ,19,19,KEPULAUAN BANGKA BELITUNG,149,61,210,163,69,232,14,8,22
86, SMP ,21,21,KEPULAUAN RIAU,201,168,369,236,179,415,35,11,46
87, SMP ,31,31,DKI JAKARTA,285,742,1027,293,777,1070,8,35,43
88, SMP ,32,32,JAWA BARAT,1839,3662,5501,1982,3963,5945,143,301,444
89, SMP ,33,33,JAWA TENGAH,1697,1593,3290,1772,1674,3446,75,81,156
90, SMP ,34,34,DI YOGYAKARTA,208,231,439,214,240,454,6,9,15
91, SMP ,35,35,JAWA TIMUR,1627,2987,4614,1737,3259,4996,110,272,382
92, SMP ,36,36,BANTEN,528,968,1496,573,1029,1602,45,61,106
93, SMP ,51,51,BALI,265,118,383,277,127,404,12,9,21
94, SMP ,52,52,NUSA TENGGARA BARAT,472,384,856,604,459,1063,132,75,207
95, SMP ,53,53,NUSA TENGGARA TIMUR,863,337,1200,1380,453,1833,517,116,633
96, SMP ,61,61,KALIMANTAN BARAT,704,293,997,1030,347,1377,326,54,380
97, SMP ,62,62,KALIMANTAN TENGAH,482,122,604,714,153,867,232,31,263
98, SMP ,63,63,KALIMANTAN SELATAN,442,95,537,522,105,627,80,10,90
99, SMP ,64,64,KALIMANTAN TIMUR,372,221,593,458,239,697,86,18,104
100, SMP ,65,65,KALIMANTAN UTARA,94,33,127,156,39,195,62,6,68
101, SMP ,71,71,SULAWESI UTARA,333,205,538,478,255,733,145,50,195
102, SMP ,72,72,SULAWESI TENGAH,496,114,610,734,143,877,238,29,267
103, SMP ,73,73,SULAWESI SELATAN,863,370,1233,1269,444,1713,406,74,480
104, SMP ,74,74,SULAWESI TENGGARA,444,74,518,694,95,789,250,21,271
105, SMP ,75,75,GORONTALO,224,24,248,313,29,342,89,5,94
106, SMP ,76,76,SULAWESI BARAT,191,33,224,319,59,378,128,26,154
107, SMP ,81,81,MALUKU,304,97,401,552,144,696,248,47,295
108, SMP ,82,82,MALUKU UTARA,212,92,304,373,146,519,161,54,215
109, SMP ,92,91,PAPUA BARAT,75,34,109,124,40,164,49,6,55
110, SMP ,96,92,PAPUA BARAT DAYA,83,52,135,123,58,181,40,6,46
111, SMP ,91,94,PAPUA,113,61,174,189,80,269,76,19,95
112, SMP ,94,96,PAPUA TENGAH,39,48,87,101,70,171,62,22,84
113, SMP ,93,95,PAPUA SELATAN,52,21,73,94,36,130,42,15,57
114, SMP ,95,97,PAPUA PEGUNUNGAN,42,23,65,152,45,197,110,22,132
115, SMK ,11,11,DI. ACEH,134,59,193,153,69,222,19,10,29
116, SMK ,12,12,SUMATERA UTARA,210,643,853,274,685,959,64,42,106
117, SMK ,13,13,SUMATERA BARAT,104,88,192,115,97,212,11,9,20
118, SMK ,14,14,RIAU,120,152,272,138,168,306,18,16,34
119, SMK ,15,15,JAMBI,85,69,154,107,74,181,22,5,27
120, SMK ,16,16,SUMATERA SELATAN,108,187,295,121,193,314,13,6,19
121, SMK ,17,17,BENGKULU,54,34,88,65,38,103,11,4,15
122, SMK ,18,18,LAMPUNG,96,350,446,111,386,497,15,36,51
123, SMK ,19,19,KEPULAUAN BANGKA BELITUNG,33,22,55,36,23,59,3,1,4
124, SMK ,21,21,KEPULAUAN RIAU,31,64,95,36,68,104,5,4,9
125, SMK ,31,31,DKI JAKARTA,72,469,541,73,488,561,1,19,20
126, SMK ,32,32,JAWA BARAT,277,"2,523","2,800",288,"2,625","2,913",11,102,113
127, SMK ,33,33,JAWA TENGAH,231,"1,271","1,502",239,"1,302","1,541",8,31,39
128, SMK ,34,34,DI YOGYAKARTA,49,153,202,50,156,206,1,3,4
129, SMK ,35,35,JAWA TIMUR,285,"1,781","2,066",297,"1,850","2,147",12,69,81
130, SMK ,36,36,BANTEN,84,601,685,91,633,724,7,32,39
131, SMK ,51,51,BALI,54,107,161,57,113,170,3,6,9
132, SMK ,52,52,NUSA TENGGARA BARAT,90,198,288,99,230,329,9,32,41
133, SMK ,53,53,NUSA TENGGARA TIMUR,133,129,262,174,169,343,41,40,81
134, SMK ,61,61,KALIMANTAN BARAT,96,100,196,117,116,233,21,16,37
135, SMK ,62,62,KALIMANTAN TENGAH,73,41,114,94,45,139,21,4,25
136, SMK ,63,63,KALIMANTAN SELATAN,58,63,121,64,64,128,6,1,7
137, SMK ,64,64,KALIMANTAN TIMUR,76,118,194,88,129,217,12,11,23
138, SMK ,65,65,KALIMANTAN UTARA,17,10,27,22,12,34,5,2,7
139, SMK ,71,71,SULAWESI UTARA,68,79,147,92,100,192,24,21,45
140, SMK ,72,72,SULAWESI TENGAH,79,58,137,107,75,182,28,17,45
141, SMK ,73,73,SULAWESI SELATAN,140,212,352,168,238,406,28,26,54
142, SMK ,74,74,SULAWESI TENGGARA,65,43,108,102,66,168,37,23,60
143, SMK ,75,75,GORONTALO,32,17,49,40,19,59,8,2,10
144, SMK ,76,76,SULAWESI BARAT,45,53,98,60,70,130,15,17,32
145, SMK ,81,81,MALUKU,60,32,92,84,36,120,24,4,28
146, SMK ,82,82,MALUKU UTARA,41,38,79,63,87,150,22,49,71
147, SMK ,92,91,PAPUA BARAT,12,5,17,16,5,21,4, - ,4
148, SMK ,96,92,PAPUA BARAT DAYA,12,19,31,16,22,38,4,3,7
149, SMK ,91,94,PAPUA,27,13,40,35,14,49,8,1,9
150, SMK ,94,96,PAPUA TENGAH,11,27,38,16,35,51,5,8,13
151, SMK ,93,95,PAPUA SELATAN,14,3,17,21,4,25,7,1,8
152, SMK ,95,97,PAPUA PEGUNUNGAN,4,4,8,10,9,19,6,5,11
153, SMA ,11,11,DI. ACEH,337,125,462,394,145,539,57,20,77
154, SMA ,12,12,SUMATERA UTARA,375,577,952,432,635,"1,067",57,58,115
155, SMA ,13,13,SUMATERA BARAT,204,93,297,236,102,338,32,9,41
156, SMA ,14,14,RIAU,275,142,417,313,154,467,38,12,50
157, SMA ,15,15,JAMBI,135,70,205,163,84,247,28,14,42
158, SMA ,16,16,SUMATERA SELATAN,284,255,539,330,283,613,46,28,74
159, SMA ,17,17,BENGKULU,93,32,125,109,42,151,16,10,26
160, SMA ,18,18,LAMPUNG,209,262,471,239,288,527,30,26,56
161, SMA ,19,19,KEPULAUAN BANGKA BELITUNG,44,26,70,47,27,74,3,1,4
162, SMA ,21,21,KEPULAUAN RIAU,82,68,150,93,75,168,11,7,18
163, SMA ,31,31,DKI JAKARTA,111,363,474,117,379,496,6,16,22
164, SMA ,32,32,JAWA BARAT,503,"1,199","1,702",514,"1,254","1,768",11,55,66
165, SMA ,33,33,JAWA TENGAH,351,484,835,362,499,861,11,15,26
166, SMA ,34,34,DI YOGYAKARTA,68,101,169,69,104,173,1,3,4
167, SMA ,35,35,JAWA TIMUR,409,"1,046","1,455",423,"1,094","1,517",14,48,62
168, SMA ,36,36,BANTEN,154,422,576,161,446,607,7,24,31
169, SMA ,51,51,BALI,82,69,151,90,73,163,8,4,12
170, SMA ,52,52,NUSA TENGGARA BARAT,140,186,326,150,215,365,10,29,39
171, SMA ,53,53,NUSA TENGGARA TIMUR,276,184,460,393,218,611,117,34,151
172, SMA ,61,61,KALIMANTAN BARAT,223,156,379,285,187,472,62,31,93
173, SMA ,62,62,KALIMANTAN TENGAH,138,53,191,181,64,245,43,11,54
174, SMA ,63,63,KALIMANTAN SELATAN,126,62,188,142,65,207,16,3,19
175, SMA ,64,64,KALIMANTAN TIMUR,121,85,206,145,92,237,24,7,31
176, SMA ,65,65,KALIMANTAN UTARA,37,21,58,46,22,68,9,1,10
177, SMA ,71,71,SULAWESI UTARA,101,84,185,121,108,229,20,24,44
178, SMA ,72,72,SULAWESI TENGAH,150,53,203,176,58,234,26,5,31
179, SMA ,73,73,SULAWESI SELATAN,297,235,532,337,270,607,40,35,75
180, SMA ,74,74,SULAWESI TENGGARA,181,52,233,251,64,315,70,12,82
181, SMA ,75,75,GORONTALO,49,8,57,62,9,71,13,1,14
182, SMA ,76,76,SULAWESI BARAT,54,12,66,77,15,92,23,3,26
183, SMA ,81,81,MALUKU,153,60,213,215,73,288,62,13,75
184, SMA ,82,82,MALUKU UTARA,78,44,122,139,85,224,61,41,102
185, SMA ,92,91,PAPUA BARAT,25,20,45,43,21,64,18,1,19
186, SMA ,96,92,PAPUA BARAT DAYA,30,25,55,43,29,72,13,4,17
187, SMA ,91,94,PAPUA,40,47,87,57,56,113,17,9,26
188, SMA ,94,96,PAPUA TENGAH,17,22,39,28,28,56,11,6,17
189, SMA ,93,95,PAPUA SELATAN,17,9,26,22,15,37,5,6,11
190, SMA ,95,97,PAPUA PEGUNUNGAN,17,10,27,44,18,62,27,8,35
